id,code,name,aliquot,month_ucim,year_ucim
concept1,1.01.001,"Captura de moluscos y otros crustáceos que suelen recolectar en ríos, lagos y en costas, normalmente en las orillas de éstas",1,,
concept2,1.02.001,"Siembra, cuido y recolección de frutos, granos y/o vegetales",1,,
concept3,2.02.001,"Mataderos y Frigoríficos, establecimientos dedicados a la matanza de ganado, preparación y elaboración de carne, productos a base de carne, aves y otros animales.",1,,
concept4,2.02.002,"Beneficio de aves, y otros animales.",1,,
concept5,2.02.003,"Fabricación de mantequilla, quesos, helados, productos lácteos y derivados y otros productos lácteos no bien especificados.",1,,
concept6,2.02.004,"Envasado y preparación de salsas, encurtidos, condimentos, especies, sopas de hortalizas, legumbres, vegetales, mermeladas, jaleas, preparación de frutas secas o en almíbar, jugos, concentrados de frutas, legumbres y hortalizas.",1,,
concept7,2.02.005,"Preparación y envasado de pescado, crustáceos y otros productos marinos.",1,,
concept8,2.02.006,Fabricación de Aceites y Grasas Comestibles de origen vegetal.,1,,
concept9,2.02.007,"Trillado de trigo, molienda de trigo y maíz y preparación de cereales, leguminosas para el consumo humano.",1,,
concept10,2.02.008,"Fabricación de productos de panaderías, galletas, pastelería y repostería, pastas y productos alimenticios diversos.",1,,
concept11,2.02.009,Fabricación de Hielo.,1,,
concept12,2.02.010,"Elaboración de bebidas no alcohólicas gaseosas o saborizadas, tratamiento y embotellado de aguas naturales y minerales.",1,,
concept13,2.02.011,"Fabricación de Tapices, alfombras, productos sintéticos.",1,,
concept14,2.02.012,"Fabricación de prendas de vestir para caballeros, damas, niños y niñas.",1,,
concept15,2.02.013,"Fabricación de carteras, artículos de viajes, billeteras, monederos, sombreros, partes y accesorios de cuero para calzado, otros accesorios de vestir, calzado de cuero, telas y otros materiales, excepto caucho, plástico o madera.",1,,
concept16,2.02.014,Aserraderos y talleres de acepilladura.,1,,
concept17,2.02.015,"Fabricación de materiales de madera y metal para la construcción de edificaciones, cajas, jaulas, tambores, barriles y otros envases de madera y metal.",1,,
concept18,2.02.016,"Fabricación de mangos de madera para herramientas y de artículos menudos de madera, ataúdes, muebles o accesorios, de madera, metal, ratán, mimbre y otras fibras.",1,,
concept19,2.02.017,"Fabricación de sustancias químicas industriales, básicas.",1,,
concept20,2.02.018,Fabricación de abono y plaguicidas.,1,,
concept21,2.02.019,"Fabricación de pinturas, barnices y lacas",1,,
concept22,2.02.020,"Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico.",1,,
concept23,2.02.021,Fabricación de jabones y preparados de limpieza.,1,,
concept24,2.02.022,"Fabricación de perfumes, cosméticos y otros productos de tocador.",1,,
concept25,2.02.023,"Fabricación de ceras, abrillantadores, desinfectantes, desodorizantes, pulimentos de muebles y metales, otros productos de limpieza y mantenimiento no especificados.",1,,
concept26,2.02.024,"Construcción y ensamblaje de vehículos, automotores y fabricación de chasis para vehículos, carrocería y aeronaves.",1,,
concept27,2.02.025,Fabricación de juguetes y adornos Infantiles.,1,,
concept28,2.02.026,Fabricación de artículos de oficina y artículos para escribir.,1,,
concept29,2.02.027,"Fabricación de colchones, almohadas y cojines.",1,,
concept30,2.02.028,"Fabricación de servicios de mesa, utensilios de cocina.",1,,
concept31,2.02.029,"Fabricación de bolsas, envases, estuches, botellas y sus accesorios, artículos diversos de material plásticos.",1,,
concept32,2.02.030,"Fabricación de objetos barro, loza y porcelana.",1,,
concept33,2.02.031,Fabricación vidrio y fibras de vidrio y manufactura de vidrio para carros y otros vidrios de seguridad.,1,,
concept34,2.02.032,Fabricación de productos de arcilla y cerámica para construcción.,1,,
concept35,2.02.033,Fabricación de cemento.,1,,
concept36,2.02.034,"Fabricación cal, yeso, hormigón y otros productos a base de cemento, mármol, granitos y otras piedras naturales.",1,,
concept37,2.02.035,Fabricación de abrasivo en general,1,,
concept38,2.03.001,Manufactura de licores.,1,,
concept39,2.03.002,"Fabricación de tabaco, cigarrillos y derivados",1,,
concept40,2.04.001,Industrias básicas del hierro y del acero.,1,,
concept41,2.04.002,"Fabricación de piezas fundidas, forjadas o estampadas, de hierro o acero, productos con cobre, plomo, estaño, zinc, bronce y latón.",1,,
concept42,2.04.003,"Fabricación de equipo de ventilación, aire acondicionado y refrigeración comercial e Industrial.",1,,
concept43,2.04.004,Fabricación de aparatos y accesorios eléctricos.,1,,
concept44,2.04.005,Fabricación de equipo profesional y científico e Instrumentos de medida y control.,1,,
